-- duplicate objects wandering isle
'300646', '209663', '860', '0', '0', '0', '0', '169', '0', '-1', '873.135', '4202.89', '197.067', '1.85005', '0', '0', '0.798636', '0.601815', '120', '255', '1', '', NULL, '0'
'300791', '209663', '860', '0', '0', '0', '0', '169', '0', '-1', '873.135', '4202.89', '197.067', '1.85005', '0', '0', '0.798636', '0.601815', '120', '255', '1', '', NULL, '0'
'300643', '209663', '860', '0', '0', '0', '0', '169', '0', '-1', '874.208', '4199.28', '197.254', '4.99164', '0', '0', '0.601816', '-0.798635', '120', '255', '1', '', NULL, '0'
'300789', '209663', '860', '0', '0', '0', '0', '169', '0', '-1', '874.208', '4199.28', '197.254', '4.99164', '0', '0', '0.601816', '-0.798635', '120', '255', '1', '', NULL, '0'
'300540', '209656', '860', '0', '0', '0', '0', '169', '0', '-1', '896.667', '4226.17', '198.583', '2.21656', '0', '0', '0.894933', '0.446202', '120', '255', '1', '', NULL, '0'
'300642', '209656', '860', '0', '0', '0', '0', '169', '0', '-1', '896.667', '4226.17', '198.583', '2.21656', '0', '0', '0.894933', '0.446202', '120', '255', '1', '', NULL, '0'
'300648', '209656', '860', '0', '0', '0', '0', '169', '0', '-1', '898.043', '4224.41', '198.757', '5.34071', '0', '0', '0.453989', '-0.891007', '120', '255', '1', '', NULL, '0'
'300539', '209656', '860', '0', '0', '0', '0', '169', '0', '-1', '903.366', '4224.43', '199.276', '4.31097', '0', '0', '0.833884', '-0.55194', '120', '255', '1', '', NULL, '0'
'300644', '209656', '860', '0', '0', '0', '0', '169', '0', '-1', '903.366', '4224.43', '199.276', '4.31097', '0', '0', '0.833884', '-0.55194', '120', '255', '1', '', NULL, '0'
'300787', '209661', '860', '0', '0', '0', '0', '169', '0', '-1', '897.253', '4138.78', '213.568', '4.88692', '0', '0', '0.642788', '-0.766044', '120', '255', '1', '', NULL, '0'
'300788', '209661', '860', '0', '0', '0', '0', '169', '0', '-1', '896.474', '4144.28', '213.497', '1.76278', '0', '0', '0.771624', '0.636079', '120', '255', '1', '', NULL, '0'
'300759', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '880.462', '4085.9', '204.576', '2.28638', '0', '0', '0.909961', '0.414694', '120', '255', '1', '', NULL, '0'
'300751', '209661', '860', '0', '0', '0', '0', '169', '0', '-1', '832.059', '4111.17', '205.208', '1.83259', '0', '0', '0.793352', '0.608764', '120', '255', '1', '', NULL, '0'
'300753', '209661', '860', '0', '0', '0', '0', '169', '0', '-1', '833.648', '4105.71', '205.928', '4.93928', '0', '0', '0.622515', '-0.782608', '120', '255', '1', '', NULL, '0'
'300466', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '952.535', '4110.35', '201.163', '3.54302', '0', '0', '0.979925', '-0.199369', '120', '255', '1', '', NULL, '0'
'300560', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '952.535', '4110.35', '201.163', '3.54302', '0', '0', '0.979925', '-0.199369', '120', '255', '1', '', NULL, '0'
'300793', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '952.535', '4110.35', '201.163', '3.54302', '0', '0', '0.979925', '-0.199369', '120', '255', '1', '', NULL, '0'
'300488', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '955.226', '4111.65', '200.861', '0.436332', '0', '0', '0.216439', '0.976296', '120', '255', '1', '', NULL, '0'
'300650', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '955.226', '4111.65', '200.861', '0.436332', '0', '0', '0.216439', '0.976296', '120', '255', '1', '', NULL, '0'
'300792', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '955.226', '4111.65', '200.861', '0.436332', '0', '0', '0.216439', '0.976296', '120', '255', '1', '', NULL, '0'
'300490', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '964.417', '4093.14', '196.637', '5.86431', '0', '0', '0.20791', '-0.978148', '120', '255', '1', '', NULL, '0'
'300562', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '964.417', '4093.14', '196.637', '5.86431', '0', '0', '0.20791', '-0.978148', '120', '255', '1', '', NULL, '0'
'300790', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '964.417', '4093.14', '196.637', '5.86431', '0', '0', '0.20791', '-0.978148', '120', '255', '1', '', NULL, '0'
'300489', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '961.693', '4094.27', '196.563', '2.74016', '0', '0', '0.979924', '0.199371', '120', '255', '1', '', NULL, '0'
'300561', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '961.693', '4094.27', '196.563', '2.74016', '0', '0', '0.979924', '0.199371', '120', '255', '1', '', NULL, '0'
'300649', '209660', '860', '0', '0', '0', '0', '169', '0', '-1', '961.693', '4094.27', '196.563', '2.74016', '0', '0', '0.979924', '0.199371', '120', '255', '1', '', NULL, '0'

